day,time,rank,forgo none floor,forgo none u,forgo one floor,forgo one u,forgo two floor,forgo two u,forgo three floor,forgo three u
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.757,Basement,1.436,Third,0.869,Basement,0.673
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.629,First,1.249,Third,0.733,Basement,0.505
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,0.9,First,0.69,Fourth,0.456,Basement,0.224
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.286,First,0.986,Fourth,0.563,Basement,0.448
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,1.202,Basement,1.377,Basement,0.749,Basement,0.645
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.929,First,1.479,Third,0.716,Basement,0.533
Tuesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.286,First,0.986,Third,0.511,Basement,0.42
Tuesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.732,Basement,0.838,Basement,0.456,Basement,0.392
Tuesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.941,Basement,1.077,Basement,0.586,Basement,0.505
Tuesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.414,First,1.084,Third,0.664,Basement,0.477
Wednesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,1.464,Basement,1.676,Fourth,1.153,Basement,0.785
Wednesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.371,First,1.051,Third,0.647,Basement,0.392
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.889,Basement,1.017,Basement,0.554,Basement,0.477
Wednesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Third,0.96,Second,0.916,Third,0.716,Basement,0.392
Wednesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Third,1.006,Basement,1.077,Third,0.75,Basement,0.505
Thursday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.671,First,1.281,Third,0.937,Basement,0.589
Thursday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Third,0.869,Basement,0.898,Third,0.647,Basement,0.42
Thursday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.889,Basement,1.017,Basement,0.554,Basement,0.477
Thursday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,2.186,First,1.676,Third,1.039,Basement,0.477
Thursday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.286,Basement,1.257,Third,0.835,Basement,0.589
Friday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Second,1.118,Second,1.169,Fourth,0.858,Basement,0.505
Friday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.757,First,1.347,Second,0.783,Basement,0.617
Friday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,1.045,Basement,1.197,Fourth,0.831,Basement,0.561
Friday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.629,Basement,1.676,Basement,0.912,Basement,0.785
Friday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.843,Basement,1.795,Basement,0.977,Basement,0.841
